WORD	PAST	PAST-PARTICIPLE	PRESENT-PARTICIPLE	
indulge			
industrialize			
inebriate			
infatuate			
infect			
infer			
infest			
infiltrate			
inflame			
inflate			
inflect			
inflict			
influence			
inform			
infringe			
infuriate			
infuse			
ingest			
ingraft			
ingratiate			
inhabit			
inhale			
inherit			
inhibit			
initial	initialled	initialled	initialling
initiate			
inject			
injure			
ink			
inlay	inlaid	inlaid	
innovate			
inoculate			
inquire			
inscribe			
inseminate			
insert			
inset	inset	inset	
insinuate			
insist			
inspect			
inspire			
install			
instance			
instigate			
instil			
institute			
institutionalize			
instruct			
insulate			
insult			
insure			
integrate			
intend			
intensify			
inter			
interact			
interbreed	interbred	interbred	
intercede			
intercept			
interchange			
intercommunicate			
interconnect			
interdict			
interest			
interfere			
interject			
interlace			
interlard			
interleave			
interlink			
interlock			
intermarry			
intermingle			
intermix			
intern			
internalize			
internationalize			
interpellate			
interpolate			
interpose			
interpret			
interrelate			
interrogate			
interrupt			
intersect			
intersperse			
intertwine			
intervene			
interview			
interweave	(interwove interweaved)	interwoven	
intimate			
intimidate			
intone			
intoxicate			
intrench			
intrigue			
introduce			
introspect			
introvert			
intrude			
intuit			
inundate			
inure			
invade			
invalid			
invalidate			
inveigh			
inveigle			
invent			
invert			
invest			
investigate			
invigorate			
invite			
invoice			
invoke			
involve			
ionize			
irk			
iron			
irradiate			
irrigate			
irritate			
isolate			
issue			
italicize			
itch			
itemize			
iterate			
jab			
jabber			
jack			
jack-knife			
jag			
jail			
jam			
jampack			
jangle			
japan			
jar			
jaundice			
jaunt			
jaw			
jaywalk			
jazz			
jeer			
jell			
jelly			
jeopardize			
jerk			
jest			
jet			
jettison			
jewel			
jib			
jibe			
jig			
jiggle			
jilt			
jingle			
jive			
job			
jockey			
jog			
joggle			
join			
joint			
joke			
jolly			
jolt			
jostle			
jot			
journey			
joust			
judder			
judge			
jug			
juggle			
jumble			
jump			
junket			
justify			
jut			
juxtapose			
keel			
keen			
keep	kept	kept	
kennel			
key			
kick			
kid			
kidnap			
kill			
kindle			
kink			
kip			
kiss			
kit			
knead			
kneel		knelt	
knife			
knight			
knit			
knock			
knot			
know	knew	known	
knuckle			
kotow			
kowtow			
label	(labelled labeled)	(labelled labeled)	(labelling labeling)
labor			
labour			
lace			
lacerate			
lack			
lacquer			
ladder			
lade			
ladle			
lag			
laicize			
lam			
lamb			
lambaste			
lame			
lament			
laminate			
lampoon			
lance			
land			
landscape			
languish			
lap			
lapse			
lard			
lark			
lash			
lasso			
last			
latch			
lather			
laud			
laugh			
launch			
launder			
lave			
lavish			
lay	laid	laid	
layer			
laze			
leach			
lead	led	led	
leaf			
league			
leak			
lean			
leap	(leaped leapt)	(leaped leapt)	
leapfrog			
learn			
lease			
leave	left	left	
leaven			
lecture			
leer			
legalize			
legislate			
legitimatize			
lend	lent	lent	
lengthen			
lessen			
let	let	let	
levant			
level	(levelled leveled)	(levelled leveled)	(levelling leveling)
lever			
levitate			
levy			
liaise			
libel	(libelled libeled)	(libelled libeled)	(libelling libeling)
liberalize			
liberate			
licence			
license			
lick			
lie			lying
lift			
light	(lighted lit)	(lighted lit)	
lighten			
like			
liken			
lilt			
limber			
lime			
limit			
limn			
limp			
line			
linger			
link			
lionize			
lip-read			
liquefy			
liquidate			
liquidize			
lisp			
list			
listen			
lithograph			
litigate			
litter			
live			
liven			
load			
loaf			
loan			
loathe			
lob			
lobby			
localize			
locate			
lock			
lodge			
loft			
log			
loiter			
loll			
long			
look			
loom			
loop			
loose			
loosen			
loot			
lop			
lope			
lord			
lose	lost	lost	
lounge			
lour			
love			
low			
lower			
lubricate			
luff			
lug			
lull			
lumber			
lump			
lunch			
lunge			
lurch			
lure			
lurk			
lust			
luxuriate			
lynch			
macadamize			
macerate			
machine			
madden			
maffick			
magnetize			
magnify			
mail			
maim			
maintain			
major			
make	made	made	
malfunction			
malign			
malinger			
malt			
maltreat			
man			
manacle			
manage			
mandate			
maneuver			
mangle			
manhandle			
manicure			
manifest			
manifold			
manipulate			
manoeuvre			
mantle			
manufacture			
manumit			
manure			
map			
mar			
maraud			
march			
marinade			
marinate			
mark			
market			
maroon			
marry			
marshal			
martyr			
marvel	(marvelled marveled)	(marvelled marveled)	(marvelling marveling)
mash			
mask			
masquerade			
mass			
mass-produce			
massacre			
massage			
master			
mastermind			
masticate			
masturbate			
mat			
match			
mate			
materialize			
matriculate			
matter			
maturate			
mature			
maul			
maunder			
maximise			
maximize			
mean	meant	meant	
meander			
measure			
mechanize			
meddle			
mediate			
medicate			
meditate			
meet	met	met	
meld			
meliorate			
mellow			
melt			
memorialize			
memorize			
menace			
mend			
menstruate			
mention			
merge			
merit			
mesh			
mesmerize			
mess			
metal			
metamorphose			
mete			
metricize			
mew			
miaou			
miaow			
microfilm			
migrate			
mildew			
militate			
milk			
mill			
mime			
mimeograph			
mimic	mimicked	mimicked	mimicking
mince			
mind			
mine			
mingle			
miniaturize			
minimize			
minister			
mint			
minute			
mire			
mirror			
misadvise			
misapply			
misapprehend			
misappropriate			
misbehave			
miscalculate			
miscall			
miscarry			
miscast	miscast	miscast	
misconceive			
misconduct			
misconstrue			
miscount			
misdate			
misdeal	misdealt	misdealt	
misdirect			
misfire			
misgovern			
misguide			
mishandle			
misinform			
misinterpret			
misjudge			
mislay	mislaid	mislaid	
mislead	misled	misled	
mismanage			
misname			
misplace			
misprint			
mispronounce			
misquote			
misread	misread	misread	
misrepresent			
miss			
misspell			
misspend	misspent	misspent	
misstate			
mist			
mistake	mistook	mistaken	
mistime			
mistranslate			
mistrust			
misunderstand	misunderstood	misunderstood	
misuse			
mitigate			
mix			
mizzle			
moan			
mob			
mobilize			
mock			
model	(modelled modeled)	(modelled modeled)	(modelling modeling)
moderate			
modernize			
modify			
modulate			
moil			
moisten			
mold			
molder			
molest			
mollify			
mollycoddle			
molt			
monetize			
monitor			
monkey			
monopolize			
moo			
mooch			
moon			
moor			
mop			
mope			
moralize			
mortar			
mortgage			
mortice			
mortify			
mortise			
mosey			
mother			
mothproof			
motion			
motivate			
motor			
motorize			
mottle			
mould			
moulder			
moult			
mount			
mourn			
mouse			
mouth			
move			
mow			
muck			
mud			
muddle			
muddy			
muff			
muffle			
mug			
mulch			
mull			
multiply			
mumble			
mummify			
munch			
munition			
murder			
murmur			
muscle			
muse			
mushroom			
muss			
muster			
mute			
mutilate			
mutiny			
mutter			
muzzle			
mystify			
nab			
nag			
nail			
name			
name-drop			
nap			
narrate			
narrow			
nasalize			
nationalize			
natter			
naturalize			
nauseate			
navigate			
near			
necessitate			
neck			
need			
needle			
negate			
neglect			
negotiate			
neigh			
neighbor			
neighbour			
nest			
nestle			
net			
nettle			
neuter			
neutralize			
nibble			
nick			
nickel			
nickname			
niggle			
nip			
nod			
nominate			
nonplus	(nonplused nonplussed)	(nonplused nonplussed)	(nonplusing nonplussing)
noose			
normalize			
nose			
nosedive			
nosh			
notch			
note			
notice			
notify			
nourish			
nudge			
nullify			
numb			
number			
nurse			
nurture			
nuzzle			
obey			
obfuscate			
object			
obligate			
oblige			
obliterate			
obscure			
observe			
obsess			
obstruct			
obtain			
obtrude			
obviate			
occasion			
occupy			
occur			
offend			
offer			
officiate			
offset	offset	offset	
ogle			
oil			
okay			
omen			
omit			
ooze			
open			
operate			
opine			
oppose			
oppress			
opt			
orate			
orbit			
orchestrate			
ordain			
order			
organize			
orient			
orientate			
originate			
ornament			
orphan			
oscillate			
ossify			
ostracize			
ought	*NONE*	*NONE*	*NONE*
oust			
outbid	outbid	outbid	
outbrave			
outclass			
outdistance			
outdo	outdid	outdone	
outface			
outfight	outfought	outfought	
outfit			
outflank			
outfox			
outgrow	outgrew	outgrown	
outlast			
outlaw			
outline			
outlive			
outmaneuver			
outmanoeuvre			
outmarch			
outmatch			
outnumber			
outpace			
outperform			
outplay			
outpoint			
outrage			
outrange			
outrank			
outride	outrode	outridden	
outrun	outran	outrun	
outsail			
outshine	outshone	outshone	
outsmart			
outstay			
outstrip			
outvie			
outvote			
outwear	outwore	outworn	
outweigh			
outwit			
overact			
overarch			
overawe			
overbalance			
overbear	overbore	overborne	
overbid	overbid	overbid	
overbuild	overbuilt	overbuilt	
overburden			
overbuy	overbought	overbought	
overcharge			
overclothe			
overcloud			
overcome	overcame	overcome	
overcook			
overcrop			
overcrowd			
overdo	overdid	overdone	
overdraw	overdrew	overdrawn	
overdress			
overeat	overate	overeaten	
overemphasize			
overestimate			
overexert			
overexpose			
overfeed			
overflow			
overfly	overflew	overflown	
overhang	overhung	overhung	
overhaul			
overhear	overheard	overheard	
overheat			
overindulge			
overlap			
overlay	overlaid	overlaid	
overleap			
overlie	overlay	overlain	overlying
overload			
overlook			
overmaster			
overpay	overpaid	overpaid	
overplay			
overpower			
overpraise			
overprint			
overproduce			
overrate			
overreach			
overreact			
override	overrode	overridden	
overrule			
overrun	overran	overrun	
oversee	oversaw	overseen	overseeing
overshadow			
overshoot	overshot	overshot	
oversimplify			
oversleep	overslept	overslept	
overspend	overspent	overspent	
overstate			
overstay			
overstep			
overstock			
overstrain			
overtake	overtook	overtaken	
overtax			
overthrow	overthrew	overthrown	
overtop			
overtrump			
overturn			
overvalue			
overwhelm			
overwork			
owe			
own			
oxidize			
oxygenate			
oxygenize			
pace			
pacify			
pack			
package			
pad			
paddle			
padlock			
page			
pain			
paint			
pair			
pal			
palaver			
pale			
pall			
palliate			
palm			
palpitate			
palsy			
palter			
pamper			
pan			
pander			
panel	(panelled paneled)	(panelled paneled)	(panelling paneling)
panhandle			
panic	panicked	panicked	panicking
pant			
paper			
parachute			
parade			
parallel			
paralyse			
paralyze			
paraphrase			
parboil			
parcel	(parcelled parceled)	(parcelled parceled)	(parcelling parceling)
parch			
pardon			
pare			
park			
parley			
parody			
parole			
parry			
parse			
part			
partake	partook	partaken	
participate			
particularize			
partition			
partner			
pass			
paste			
pasteurize			
pasture			
pat			
patch			
patent			
patrol			
patronize			
patter			
pattern			
pauperize			
pause			
pave			
paw			
pawn			
pay	paid	paid	
peak			
peal			
pearl			
peck			
peculate			
pedal			
peddle			
pee			peeing
peek			
peel			
peep			
peer			
peeve			
peg			
pelletize			
pelt			
pen			
penalize			
pencil			
penetrate			
pension			
people			
pep			
pepper			
perambulate			
perceive			
perch			
percolate			
perfect			
perforate			
perform			
perfume			
peril			
perish			
perjure			
perk			
perm			
permeate			
permit			
permute			
perpetrate			
perpetuate			
perplex			
persecute			
persevere			
persist			
personalize			
personate			
personify			
perspire			
persuade			
pertain			
perturb			
peruse			
pervade			
pervert			
pester			
pestle			
pet			
peter			
petition			
petrify			
phase			
philander			
philosophize			
phone			
photocopy			
photograph			
photosensitize			
photostat			
phrase			
pick			
picket			
pickle			
picnic	picnicked	picnicked	picnicking
picture			
piddle			
piece			
pierce			
piffle			
pig			
pigeonhole			
pile			
pilfer			
pillage			
pillow			
pilot			
pimp			
pin			
pinch			
pine			
ping			
pinion			
pinnacle			
pinpoint			
pioneer			
pip			
pipe			
pique			
pirate			
pirouette			
piss			
pit			
pitch			
pitchfork			
pity			
pivot			
placard			
placate			
place			
plagiarize			
plague			
plait			
plan			
plane			
plank			
plant			
plash			
plaster			
plate			
play			
pleach			
plead			
please			
pleat			
pledge			
plight			
plod			
plonk			
plop			
plot			
plough			
plow			
pluck			
plug			
plumb			
plume			
plummet	(plummetted plummeted)	(plummetted plummeted)	(plummetting plummeting)
plump			
plunder			
plunge			
ply			
poach			
pocket			
pod			
point			
poise			
poison			
poke			
polarize			
poleax			
poleaxe			
police			
polish			
politicize			
politick			
poll			
pollard			
pollinate			
pollute			
pomade			
pommel			
ponder			
poniard			
pontificate			
pony			
pooh-pooh			
pool			
pop			
popularize			
populate			
pore			
port			
portend			
portion			
portray			
pose			
posit			
position			
possess			
post			
postdate			
postmark			
postpone			
postulate			
posture			
pot			
potter			
pouch			
pounce			
pound			
pour			
pout			
powder			
power			
power-dive			
powwow			
practice			
practise			
praise			
prance			
prate			
prattle			
prawn			
pray			
pre-empt			
pre-exist			
preach			
preachify			
prearrange			
precede			
precipitate			
preclude			
precoat			
preconceive			
predecease			
predestinate			
predestine			
predetermine			
predicate			
predict			
predigest			
predispose			
predominate			
preen			
prefabricate			
preface			
prefer			
prefigure			
prefix			
prefloat			
preheat			
prejudge			
prejudice			
prelude			
premeditate			
premise			
preoccupy			
preordain			
prepare			
prepay	prepaid	prepaid	
preponderate			
prepossess			
prerecord			
presage			
prescribe			
present			
preserve			
preside			
press			
pressure			
presume			
presuppose			
pretend			
prettify			
pretty			
prevail			
prevaricate			
prevent			
preview			
prey			
price			
prick			
prickle			
pride			
prim			
prime			
primp			
prink			
print			
privatize			
prize			
probate			
probe			
proceed			
process			
proclaim			
procrastinate			
procreate			
procure			
prod			
produce			
profane			
profess			
proffer			
profile			
profit			
profiteer			
prognosticate			
program			
programme			
progress			
prohibit			
project			
proliferate			
prolong			
promenade			
promise			
promote			
prompt			
promulgate			
pronounce			
proof			
proofread	proofread	proofread	
prop			
propagandize			
propagate			
propel			
prophesy			
propitiate			
proportion			
propose			
proposition			
propound			
prorogue			
proscribe			
prosecute			
proselytize			
prospect			
prosper			
prostitute			
prostrate			
protect			
protest			
protract			
protrude			
prove		(proved proven)	
provide			
provision			
provoke			
prowl			
prune			
pry			
psychoanalyse			
psychoanalyze			
publicize			
publish			
pucker			
puddle			
puff			
puke			
pull			
pullulate			
pulp			
pulsate			
pulse			
pulverize			
pummel	(pummelled pummeled)	(pummelled pummeled)	(pummelling pummeling)
pump			
pun			
punch			
punctuate			
puncture			
punish			
punt			
purchase			
purge			
purify			
purloin			
purport			
purr			
purse			
pursue			
purvey			
push			
pussyfoot			
put	put	put	
putrefy			
putt			
putter			
putty			
puzzle			
quack			
quadruple			
quadruplicate			
quaff			
quail			
quake			
qualify			
quantify			
quarantine			
quarrel	(quarrelled quarreled)	(quarrelled quarreled)	(quarrelling quarreling)
quarry			
quarter			
quash			
quaver			
queen			
quell			
quench			
query			
quest			
question			
queue			
quibble			
quick-freeze	(quick-freezed quick-froze)	(quick-freezed quick-frozen)	
quicken			
quiet			
quieten			
quilt			
quip	quipped	quipped	quipping
quit	quitted	quitted	quitting
quiver			
quiz	quizzed	quizzed	quizzing
quote			
rabbit			
race			
rack			
racket			
radiate			
raffle			
raft			
rag			
rage			
raid			
rail			
railroad			
rain			
raise			
rake			
rally			
ram			
ramble			
ramify			
ramp			
rampage			
range			
rank			
rankle			
ransack			
ransom			
rant			
rap			
rape			
rarefy			
rasp			
rat			
rate			
ratify			
ration			
rationalize			
rattle			
ravage			
rave			
ravel	(ravelled raveled)	(ravelled raveled)	(ravelling raveling)
ravish			
ray			
raze			
re-address			
re-count			
re-cover			
re-elect			
re-form			
re-join			
reach			
react			
reactivate			
read	read	read	
readjust			
readmit			
reaffirm			
realign			
realize			
reanimate			
reap			
reappear			
rear			
rearm			
rearrange			
reason			
reassemble			
reassert			
reassess			
reassign			
reassure			
reattribute			
rebel			
rebind	rebound	rebound	
rebody			
rebound			
rebuff			
rebuild	rebuilt	rebuilt	
rebuke			
rebut			
recall			
recant			
recap			
recapitalize			
recapitulate			
recapture			
recast	recast	recast	
recede			
receipt			
receive			
recess			
reciprocate			
recite			
reckon			
reclaim			
recline			
recognize			
recoil			
recollect			
recombine			
recommend			
recommit			
recompense			
reconcile			
recondition			
reconnoiter			
reconnoitre			
reconsecrate			
reconsider			
reconstruct			
reconvict			
record			
recount			
recoup			
recover			
recreate			
recriminate			
recruit			
rectify			
recuperate			
recur			
recurve			
recycle			
redact			
redden			
redecorate			
redeem			
redefine			
redeploy			
redesign			
redevelop			
rediscover			
redistribute			
redo	redid	redone	
redouble			
redound			
redraw			
redress			
reduce			
reduplicate			
reef			
reek			
reel			
reelect			
reemploy			
reexamine			
reface			
refashion			
refer			
referee			refereeing
refill			
refinance			
refine			
refit			
reflate			
reflect			
refloat			
refocus			
reforest			
reform			
refract			
refrain			
refresh			
refrigerate			
refuel	(refuelled refueled)	(refuelled refueled)	(refuelling refueling)
refund			
refurbish			
refurnish			
refuse			
refute			
regain			
regale			
regard			
regenerate			
regiment			
register			
regress			
regret			
regroup			
regularize			
regulate			
regurgitate			
rehabilitate			
rehash			
rehear	reheard	reheard	
rehearse			
rehouse			
reign			
reimburse			
rein			
reincarnate			
reinforce			
reinstate			
reinsure			
reintegrate			
reinterpret			
reintroduce			
reinvest			
reissue			
reiterate			
reject			
rejoice			
rejoin			
rejuvenate			
rekindle			
relapse			
relate			
relax			
relay	(relaid relayed)	(relaid relayed)	
release			
relegate			
relent			
relieve			
reline			
relinquish			
relish			
relive			
relocate			
rely			
remain			
remake	remade	remade	
remand			
remark			
remarry			
remedy			
remember			
remilitarize			
remind			
reminisce			
remit			
remodel	(remodelled remodeled)	(remodelled remodeled)	(remodelling remodeling)
remodify			
remold			
remonstrate			
remould			
remount			
remove			
remunerate			
rename			
rend	rent	rent	
render			
rendezvous			
renege			
renegotiate			
renew			
renounce			
renovate			
rent			
reoffer			
reopen			
reorganize			
reorient			
reorientate			
repackage			
repaint			
repair			
repatriate			
repay	repaid	repaid	
repeal			
repeat			
repel			
repent			
repine			
replace			
replant			
replay			
replenish			
reply			
repoint			
report			
repose			
repot			
reprehend			
represent			
repress			
reprieve			
reprimand			
reprint			
reproach			
reprobate			
reprocess			
reproduce			
reprogram			
reprove			
repudiate			
repulse			
repurchase			
repute			
request			
require			
requisition			
requite			
reread	reread	reread	
rerun	reran	reran	
reschedule			
rescind			
rescue			
research			
reseat			
reseed			
resell	resold	resold	
resemble			
resent			
reserve			
reset	reset	reset	
resettle			
reshape			
reshuffle			
reside			
resign			
resist			
resole			
resolve			
resonate			
resort			
resound			
respect			
respire			
respond			
rest			
restart			
restate			
restitute			
restock			
restore			
restrain			
restrict			
restructure			
restyle			
result			
resume			
resupply			
resurface			
resurrect			
resuscitate			
ret			
retail			
retain			
retake	retook	retaken	
retaliate			
retard			
retch			
retell	retold	retold	
rethink	rethought	rethought	
reticulate			
retire			
retool			
retort			
retouch			
retrace			
retract			
retrain			
retransmit			
retread			
retreat			
retrench			
retrieve			
retrograde			
retrogress			
return			
reunite			
rev	revved	revved	revving
revalue			
revamp			
reveal			
revel	(revelled reveled)	(revelled reveled)	(revelling reveling)
revenge			
reverberate			
revere			
reverence			
reverse			
revert			
review			
revile			
revise			
revisit			
revitalize			
revive			
revivify			
revoke			
revolt			
revolutionize			
revolve			
reward			
rewire			
reword			
rewrite	rewrote	rewritten	
rhapsodize			
rhyme			
rib			
rick			
ricochet			
rid	rid	rid	
riddle			
ride	rode	ridden	
ridge			
ridicule			
riffle			
rifle			
rig			
right			
rile			
rim			
ring	(rang ringed)	(rung ringed)	
rinse			
riot			
rip			
ripen			
riposte			
ripple			
rise	rose	risen	
risk			
rival			
rive			
rivet			
roam			
roar			
roast			
rob			
rock			
rocket			
roil			
roll			
romance			
romanticize			
romp			
roof			
rook			
room			
roost			
root			
rootle			
rope			
rosin			
rot			
rotate			
rouge			
rough			
rough-dry			
rough-house			
roughcast	roughcast	roughcast	
roughen			
round			
rouse			
rout			
route			
rove			
row			
rub			
rubber-stamp			
rubberize			
rubberneck			
ruck			
ruddle			
rue			
ruff			
ruffle			
ruin			
rule			
rumble			
ruminate			
rummage			
rumor			
rumour			
rumple			
run	ran	run	
rupture			
rush			
rust			
rusticate			
rustle			
rut			
saber			
sabotage			
sabre			
sack			
sacrifice			
sadden			
saddle			
safeguard			
sag			
sail			
salivate			
sallow			
sally			
salt			
salute			
salvage			
salve			
sample			
sanctify			
sanction			
sand			
sandblast			
sandpaper			
sandwich			
sap			
sate			
satiate			
satirize			
satisfy			
saturate			
sauce			
saunter			
saut_e	sauteed	sauteed	sauteing
savage			
save			
savor			
savour			
savvy			
saw			
say	said	said	
scald			
scale			
scallop			
scalp			
scamper			
scan			
scandalize			
scant			
scar			
scare			
scarify			
scatter			
scavenge			
scent			
schedule			
scheme			
school			
scintillate			
scoff			
scold			
scollop			
scoop			
scoot			
scorch			
score			
scorn			
scotch			
scour			
scourge			
scout			
scowl			
scrabble			
scrag			
scram			
scramble			
scrap			
scrape			
scratch			
scrawl			
scream			
screech			
screen			
screw			
scribble			
scrimmage			
scrimp			
scrounge			
scrub			
scrunch			
scruple			
scrutinize			
scud			
scuff			
scuffle			
scull			
sculpt			
sculpture			
scupper			
scurry			
scuttle			
seal			
seam			
sear			
search			
season			
seat			
secede			
seclude			
second			
secrete			
secularize			
secure			
sedate			
seduce			
see	saw	seen	seeing
seed			
seek	sought	sought	
seem			
seep			
seesaw			
seethe			
segment			
segregate			
seine			
seize			
select			
sell	sold	sold	
send	sent	sent	
sense			
sensitize			
sentence			
sentimentalize			
separate			
sequester			
sequestrate			
serenade			
serialize			
sermonize			
serve			
service			
set	set	set	
settle			
sever			
sew		(sewn sewed)	
sex			
shack			
shackle			
shade			
shadow			
shag			
shake	shook	shaken	
shallow			
sham			
shamble			
shame			
shampoo			
shanghai			
shape			
share			
sharpen			
shatter			
shave			
shear			
sheathe			
shed	shed	shed	
sheer			
shell			
shellac	shellacked	shellacked	shellacking
shelter			
shelve			
shepherd			
shield			
shift			
shillyshally			
shimmer			
shin			
shine	(shone shined)	(shone  shined)	
shingle			
ship			
shipwreck			
shirk			
shit			
shiver			
shoal			
shock			
shoe	shod	shod	shoeing
shoo			
shoot	shot	shot	
shop			
shoplift			
shore			
short			
short-change			
short-circuit			
shorten			
shortlist			
shoulder			
shout			
shove			
shovel	(shovelled shoveled)	(shovelled shoveled)	(shovelling shoveling)
show		(shown showed)	
shower			
shred			
shriek			
shrill			
shrimp			
shrine			
shrink	(shrank shrunk)	shrunk	
shrive			
shrivel	(shrivelled shriveled)	(shrivelled)	(shrivelling shriveling)
shroud			
shrug			
shuck			
shudder			
shuffle			
shun			
shunt			
shush			
shut	shut	shut	
shutter			
shuttle			
shy			
sicken			
side			
side-slip			
sidestep			
sidetrack			
sidle			
sieve			
sift			
sigh			
sight			
sign			
signal	(signalled signaled)	(signalled signaled)	(signalling signaling)
signalize			
signify			
signpost			
silence			
silhouette			
silt			
silver			
simmer			
simper			
simplify			
simulate			
sin			
sing	sang	sung	
singe			singeing
single			
singularize			
sink	sank	sunk	
sip			
siphon			
sire			
sit	sat	sat	
site			
situate			
size			
sizzle			
skate			
skedaddle			
sketch			
skew			
skewer			
ski			
skid			
skim			
skimp			
skin			
skip			
skipper			
skirmish			
skirt			
skitter			
skittle			
skulk			
skyrocket			
slack			
slacken			
slake			
slam			
slander			
slang			
slant			
slap			
slash			
slate			
slaughter			
slave			
slaver			
slay	slew	slain	
sledge			
sleek			
sleep	slept	slept	
sleet			
sleigh			
slenderize			
slew			
slice			
slide	slid	slid	
slight			
slim			
sling	slung	slung	
slink	slunk	slunk	
slip			
slit	slit	slit	
slither			
sliver			
slobber			
slog			
slop			
slope			
slosh			
slot			
slouch			
slough			
slow			
slue			
slug			
sluice			
slum			
slumber			
slump			
slur			
smack			
smart			
smarten			
smash			
smear			
smell	(smelled smelt)	(smelled smelt)	
smelt			
smile			
smirch			
smirk			
smite	smote	smitten	
smoke			
smolder			
smooth			
smother			
smoulder			
smudge			
smuggle			
smut			
snaffle			
snag			
snake			
snap			
snare			
snarl			
snatch			
sneak			
sneer			
sneeze			
snick			
snicker			
sniff			
sniffle			
snigger			
snip			
snipe			
snitch			
snivel	(snivelled sniveled)	(snivelled sniveled)	(snivelling sniveling)
snoop			
snooze			
snore			
snort			
snow			
snowball			
snowmobile			
snub			
snuff			
snuffle			
snuggle			
soak			
soap			
soar			
sob			
sober			
socialize			
sock			
sod			
soft-pedal			
soft-soap			
soft-solder			
soften			
soil			
sojourn			
solace			
solder			
soldier			
sole			
solemnize			
solicit			
solidify			
soliloquize			
solve			
somersault			
soot			
soothe			
sop			
sorrow			
sort			
sough			
sound			
soundproof			
soup			
sour			
souse			
sovietize			
sow			
space			
spade			
span			
spangle			
spank			
spar			
spare			
spark			
sparkle			
spat			
spatter			
spawn			
spay			
speak	spoke	spoken	
spear			
spearhead			
specialize			
specify			
speculate			
speechify			
speed	(speeded sped)	(speeded sped)	
spell			
spend	spent	spent	
spew			
spice			
spiel			
spike			
spill			
spin	(spun span)	spun	
spin-dry			
spiral	(spiralled spiraled)	(spiralled spiraled)	(spiralling spiraling)
spirit			
spiritualize			
spirt			
spit	(spat spit)	(spat spit)	
spite			
splash			
splay			
splice			
splinter			
split	split	split	
splosh			
splurge			
splutter			
spoil			
sponge			
sponsor			
spoof			
spook			
spoon			
spoonfeed	spoonfed	spoonfed	
sport			
spot			
spotlight	(spotlighted spotlit)	(spotlighted spotlit)	
spout			
sprain			
sprawl			
spray			
spread	spread	spread	
spreadeagle			
spring	sprang	sprung	
spring-clean			
sprinkle			
sprint			
sprout			
spruce			
spue			
spur			
spurn			
spurt			
sputter			
spy			
squabble			
squall			
squander			
square			
squash			
squat	squatted	squatted	squatting
squawk			
squeak			
squeal			
squeegee			squeegeeing
squeeze			
squelch			
squint			
squire			
squirm			
squirt			
stab			
stabilize			
stable			
stack			
staff			
stage			
stagger			
stagnate			
stain			
stake			
stale			
stalemate			
stalk			
stall			
stammer			
stamp			
stampede			
stanch			
stand	stood	stood	
standardize			
staple			
star			
starboard			
starch			
stare			
start			
startle			
starve			
stash			
state			
station			
staunch			
stave			
stay			
steady			
steal	stole	stolen	
steam			
steam-heat			
steamroller			
steel			
steep			
steepen			
steer			
stem			
stencil			
step			
stereotype			
sterilize			
stew			
stick	(sticked stuck)	(sticked stuck)	
stiffen			
stifle			
stigmatize			
still			
stimulate			
sting	stung	stung	
stink	(stank stunk)	stunk	
stint			
stipple			
stipulate			
stir			
stitch			
stock			
stockade			
stoke			
stomach			
stomp			
stone			
stonewall			
stooge			
stoop			
stop			
store			
storm			
stow			
straddle			
strafe			
straggle			
straighten			
strain			
straiten			
strand			
strangle			
strap			
stratify			
straw			
stray			
streak			
stream			
streamline			
strengthen			
stress			
stretch			
strew			
stride	strode	stridden	
stridulate			
strike	struck	struck	
string	strung	strung	
strip			
strive	strove	striven	
stroke			
stroll			
strop			
structure			
struggle			
strum			
strut			
stub			
stucco			
stud			
study			
stuff			
stultify			
stumble			
stump			
stun			
stunt			
stupefy			
stupify			
stutter			
style			
stylize			
stymie			stymieing
sub			
subcontract			
subdivide			
subdue			
subedit			
subject			
subjoin			
subjugate			
sublease			
sublet	sublet	sublet	
sublimate			
submerge			
submit			
subordinate			
suborn			
subpoena			
subscribe			
subserve			
subside			
subsidize			
subsist			
substantiate			
substitute			
subsume			
subtend			
subtract			
subvert			
succeed			
succor			
succour			
succumb			
suck			
suckle			
sue			
suffer			
suffice			
suffocate			
suffuse			
sugar			
suggest			
suit			
sulk			
sully			
sum			
summarize			
summer			
summon			
summons			
sun			
sunbathe			
sunder			
sup			
superannuate			
superimpose			
superintend			
supersede			
supervene			
supervise			
supplant			
supplement			
supplicate			
supply			
support			
suppose			
suppress			
suppurate			
surcharge			
surface			
surfeit			
surge			
surmise			
surmount			
surpass			
surprise			
surrender			
surround			
surtax			
survey			
survive			
suspect			
suspend			
suss			
sustain			
swab			
swaddle			
swagger			
swallow			
swamp			
swan			
swank			
swap			
swarm			
swat			
swathe			
sway			
swear	swore	sworn	
sweat			
sweep	swept	swept	
sweeten			
swell			
swelter			
swerve			
swig			
swill			
swim	swam	swum	
swindle			
swing	swung	swung	
swinge			swingeing
swipe			
swirl			
swish			
switch			
swivel	(swivelled swiveled)	(swivelled swiveled)	(swivelling swiveling)
swoon			
swoop			
swop			
swot			
syllabicate			
syllabify			
syllabize			
symbolize			
sympathize			
synchronize			
syncopate			
syndicate			
synthesize			
syphon			
syringe			
systematize			
table			
tabulate			
tack			
tackle			
tag			
tail			
tailor			
taint			
take	took	taken	
talk			
tally			
tame			
